logFC,logCPM,F,PValue,FDR,feature,n_cells_found,mean_counts,name
1.82528703085383,10.9618360452336,14.4736787801359,0.000234853429861751,0.00234472499237632,mmu-mir-3473d,26,1.05263157894737,mmu-mir-3473d
-0.671704769953893,13.9829584114882,15.2320509938691,0.00023868458006226,0.00234472499237632,mmu-mir-10b,57,21,mmu-mir-10b
1.34083845043233,11.0955667392228,13.3429055017194,0.000382472983803331,0.00354849934973091,mmu-let-7j,37,1.33333333333333,mmu-let-7j
1.29375894256863,12.133755121353,13.5703308534306,0.000428607893008272,0.00376723779644113,mmu-mir-346,45,4.92982456140351,mmu-mir-346
1.16891972623678,11.6764642298735,13.2483381314909,0.00045372014822812,0.0037885632377048,mmu-mir-8100,45,3.12280701754386,mmu-mir-8100
1.46694651215419,10.9655696357115,12.227225925674,0.000663047741940881,0.00527280823352986,mmu-mir-592,29,1.07017543859649,mmu-mir-592
2.72428362111992,13.7249165721796,11.827722770119,0.00094931197591022,0.00708382522555569,mmu-mir-706,20,15.6491228070175,mmu-mir-706
1.32564478518913,11.5349102600871,11.516359209629,0.000991513459657175,0.00708382522555569,mmu-mir-207,37,2.68421052631579,mmu-mir-207
-0.491330669466914,12.6399814621427,11.8308576339737,0.00101803476295411,0.00708382522555569,mmu-mir-30a,57,7.56140350877193,mmu-mir-30a
1.60613719500629,10.8830309162909,11.1513883677663,0.00111875588314137,0.00747328929938434,mmu-mir-713,25,0.842105263157895,mmu-mir-713
0.950568157961302,12.238064546055,11.2514733486619,0.00127527424126485,0.00819118454966267,mmu-mir-146b,52,5.57894736842105,mmu-mir-146b
1.34573690311836,10.919556091475,10.6981290640897,0.00139860635286879,0.00824036368264608,mmu-mir-6769b,28,0.982456140350877,mmu-mir-6769b
-0.480162391574166,12.6274368233392,11.1053401203294,0.00141796287668755,0.00824036368264608,mmu-mir-30d,57,7.45614035087719,mmu-mir-30d
1.27504023016559,11.563731555537,10.7776557952349,0.00143096135806429,0.00824036368264608,mmu-mir-5103,37,2.71929824561404,mmu-mir-5103
1.28279415400434,11.8289911027819,10.0457365989081,0.00214902086287307,0.0119628828033268,mmu-mir-6342,41,3.71929824561404,mmu-mir-6342
-1.1242603614689,12.2553785550732,9.51389327800422,0.00289223686696041,0.0155807598962061,mmu-mir-6237,48,5.28070175438596,mmu-mir-6237
0.372714303334964,14.3476035792602,9.52808160798073,0.00303707545031787,0.0158497375063464,mmu-let-7c-2,57,30.5964912280702,mmu-let-7c-2
-0.873580022804649,14.691630634105,9.27192261936674,0.0034273162171986,0.0172346046539627,mmu-mir-375,57,33.3684210526316,mmu-mir-375
1.31479204434857,16.3299344940325,9.22028958573855,0.00350884166607623,0.0172346046539627,mmu-mir-7063,51,140.561403508772,mmu-mir-7063
1.22909933011887,13.3400834194894,9.09015560441285,0.00370585800463839,0.0173345578287136,mmu-mir-1192,46,15.0877192982456,mmu-mir-1192
-0.487849526648377,12.5303952459622,9.03218260152678,0.00374042571550016,0.0173345578287136,mmu-mir-30e,56,6.91228070175439,mmu-mir-30e
1.39965576656696,11.0282778722006,8.70108635421731,0.00384059065666111,0.0173345578287136,mmu-mir-1895,27,1.26315789473684,mmu-mir-1895
1.01472506145611,11.7220445245859,8.66557097953906,0.00415762183839479,0.018271653868735,mmu-mir-6991,43,3.29824561403509,mmu-mir-6991
0.965299890754969,12.5717283382724,8.41853729500557,0.00501169906962809,0.0214603524263562,mmu-mir-505,47,7.59649122807018,mmu-mir-505
-0.953817706320364,13.442625272841,8.13306104961245,0.00587962528420966,0.0245474355615753,mmu-mir-125a,55,15.7719298245614,mmu-mir-125a
